#,REF ID,DOI,First author,Year,Full author list,Country_clean,Location_clean,Source,Continent_clean,Type of gear used & any other characteristics of who fishes in area,Types of gear used_clean,Number of closures studied in case (paper if paper is one case),Actors involved with closure (types of actors + organization names),Goverance type_overall_clean,*Actors_type_governance_clean,Traditional history_clean,"Start date (how long the temporary closures have been in place, approximate OK)",start_date_clean,TURF_clean,Ecosystem,Ecosystem_clean,Short type of closure (name),Short_type_of_closure_clean,Types of stakeholders involved in design & number of stakeholders (if available; approx. ok),Governance_type_design_clean,Actors_type_design_clean,Motivation(s) for creating closure (WHY? Broad - Include objective if available),Motivations_clean,Criteria for opening closures or renewing (specific criteria - note whether for opening or re-closing),Criteria_open_clean,"Decision-making process to design, open, or change (how did they decide?)",decision_making_clean,Size of closure,"Size of closure, standardized to Ha (1 km2 = 100 ha)",Size_of_closure_clean,Length of time closed (range),Length of time closed (range) - standardized to years,length_close_clean,Length of time open (range),Length of time open (range) - standardized to years,length_open_clean,% of fishing ground closed,percentage_fishing_ground_closed_clean,Number of species the closure apply to,Number of species the study focus on,number_of_species_clean,species_category_clean,Who is responsible for enforcement? How do they do it?,Enforcement_clean,Who is responsible for collecting information (e.g. monitoring the fishery) for management & how do they do it?,Information_collected_clean
ID,/,/,/,/,/,/,,,"Asia, North America, South America, Europe, Oceania, Africa",/,"nets, spears, hook and line/line fishing, gleaning, diving, traps, others",/,/,"Bottom-up, Top-down, Co-management, Unknown","Community leaders, locals, NGO, Government, Fishing industry, Others, Unknown","Yes, No, Unknown",/,Remove bins,"Yes, No, Unknown",/,"Coral reefs, Mangrove estuary, Rocky reefs, Open ocean, Other",/,"Rotational Closure, Periodic Closure, Dynamic/Triggered closure, Determinate (Expiring) Closure",/,"Bottom-up, Top-down, Co-management, Unknown","Community leaders, locals, NGO, Fishing industry, Government, Others, Unknown",/,"Ecosystem/conservation, Fisheries/fishing income, Social, Governance (e.g. avoid permanent closure), Others, Unknown",/,"Ecosystem/conservation, Fisheries/fishing income, Social, Governance (e.g. avoid permanent closure), Others, Unknown",/,"Community/village led, NGO led, Government led, Collaboration community-NGO-government, Collaboration community-NGO, Collaboration community-government, Others",/,*numeric variable,"Small area(<1 hectare), Moderate area (1-10 hectares), Large area(10-100 hectares), Extensive Area (100+hectares up to 1000km2), Unknown",/,*numeric variable,"Weekly Closures (less than 1 month), Quarterly Closures (couple of monthes), Annual closures(1 year), Medium-term Closures(1-5 years), Long-Term Closures(5-10 years or more), Unknown",/,*numeric variable,"Daily Opening (open less than 1 week), Weekly Opening (open for couple of weeks, less than 1 month), Quarterly Opening (couple of monthes), Annual Opening(1 year), Medium-term Opening (1-5 years), Long-term Opening (Open for most of the time), Unknown",/,"Minimal Closure (<5%), Low Closure (5-20%), Moderate Closure (20-50%), High Closure (50-80%), Extreme Closure (>80%), Unknown",,/,* numeric variable or unknown,"Invertebrates, reef fish, demersal fish, pelagic fish, marine mammals/sea turtles/seabirds",/,"Community/village led, NGO led, Government led, Collaboration community-NGO-government, Collaboration community-NGO, Collaboration community-government, Others",/,"Community/village led, NGO led, Government led, Collaboration community-NGO-government, Collaboration community-NGO, Collaboration community-government, Others"
26,052-ABU-15,10.1016/j.ocecoaman.2015.07.008,Aburto J,2015,"Jaime A. Arburto, Carlos F. Gaymer. Sonia Haoa, Lilian Gonzales",Chile,"Easter Island, Rapa Nui",052-ABU-15,South America,Line fishing & gill nets,Hook and line fishing; Gillnets,1,"Artisanal fisheries, Rapu Nui commintiy, Inernational Laour Organization, local people, expert fishermen, boat handlers, Chilean people/ immigrants, king, chiefs of Polynesia. ""In the past, tapu was enforeced by the king (Ariki) of Rapa Nui and controlled by the cheif in other places in Polynesia."" ",Co-management,Community leaders; Locals; NGO; Government,Yes,"""According to Palmer (1870), tapu was fully applied when he visited the island in 1868.""",1868,Yes,Coastal Coral Reefs,Coral reefs,Tapu,Periodic closure,"Rapanui community, Chilean Fishery and Aquaculture Law (FAL, Ley de Pesca y Acuicultura)",Co-management,Locals; Government,"The local Rapanui people have noticed an extreme decline in marine resources, which is due to the exploitation of these resources.",Ecosystem/Conservation; Others,"The main tapu related to fisheries was the closure of fishing season for tuna and other pelagic or open-water fish during the winter months because these fish (especially tuna) were considered poisonous (Englert, 1948, Métraux, 1971). During the tapu, only the royal canoe or vaka vaero, decorated with rooster feathers (Métraux, 1937), with expert fishermen or tangata rava ika ma'a and boat handlers (tangata tere vaka) were allowed to fish (Ayres, 1979, Métraux, 1971). Tuna captured during tapu were for the Ariki and the eldest tangata honoui (important men) (Métraux, 1937, Métraux, 1971). According to Palmer (1870), tapu was fully applied when he visited the island in 1868. Traditional beliefs held that the consumption of open-water fish during the tapu would cause mare (asthma). ",Fisheries management/Fishing income,All decisions affecting the local population must be discussed with the Rapa Nui community through the convention Nº169 of the International Labour Organization.,Collaboration community-government,/,/,Unknown,"Winter and spawning periods. ""The ban on open water fish included the winter months (July, August, September). But some interviewees mentioned a more extended period from March-May to September (fall to spring in the southern hemisphere)"" ",0.5,Quarterly closures,"Not specified, not during winter or spawning periods (among tuna species is that spawning occurs at sea-surface temperatures of approximately 24 °C and higher)",0.49,Quarterly opening,/,Unknown,All,"Various open fish, with a focus on tuna",/,Pelagic fish,"""In the past, tapu was enforced by the king; however, given that the king (i.e. Ariki) is not currently part of the Rapa Nui social structure, tapu cannot be enforced. Thus, if some tapu were established, they would only be based on respect.""",No enforcement,Rapa Nui community,Community/village led
27,065-COH-15-A,10.1017/S0376892914000423.,Cohen P,2015,"Philippa Jane Cohen, Dirk Johan Steenbergen",Indonesia,"Community 1(Eastern Indonesia), Unknown name",065-COH-15-A,Asia,"Not clearly mentioned, but involve the description like ""net mesh size""",Unknown,1,"Decision-making and enforcement authority rested with all three governing institutions within the community, namely the council of religious leaders, traditional council and village government. The partner agency provided technical training and funding (for example, for mapping and monitoring), issued advice about management and conservation practices, and facilitated links to local government for enforcement support",Co-management,Community leaders; NGO; Government,Yes,2006,2006,Yes,Coral Reef,Coral reefs,Sasi: appears to be periodic closure,Periodic closure,"NGO, church leaders, clan leaders, and other fishers who were part of the NGO's outreach efforts.",Co-management,Community leaders; Locals; NGO,"""In response to concerns over resource sustainability and biodiversity loss""",Ecosystem/Conservation; Social,"NGO presented monitoring data, but social factors or need for funds drove decision-making.  Quote: ""The conservation teams, with partner agency support, conducted quarterly resource and habitat monitoring; this influenced harvesting in several ways. Data were plotted on graphs, displayed on community noticeboards, and explained in communal meetings to guide discussions about whether an opening event was feasible.""",Social,Design: Locals agreed to NGO intervention and developed a management council,Collaboration community-NGO,>0.04km2,4,Moderate area,Less than 1 year,1,Annual closures,5 days,0.014,Daily opening,/,Unknown,1,Trochus,1,Invertebrates,"Traditional councils have the most power to enforce. Other enforcement includes: the council of religious leaders village government. Also, NGO facilitated communcation with locals and regional goverment for enforcement.",Collaboration community-government,"""Parter Agency"" (NGO) did survey monitoring for the community",NGO led
28,065-COH-15-B,10.1017/S0376892914000423.,Cohen P,2015,"Philippa Jane Cohen, Dirk Johan Steenbergen",Indonesia,"Community 2(Eastern Indonesia), Unknown name",065-COH-15-B,Asia,"Not clearly mentioned, but involve the description like ""net mesh size""",Unknown,4,"NGO, church leaders, elders, local government",Co-management,Community leaders; NGO; Government,Yes,2006,2006,Yes,Coral Reef,Coral reefs,Sasi: appears to be periodic closure,Periodic closure,"NGO, church leaders, clan leaders, and other fishers who were part of the NGO's outreach efforts.",Co-management,Community leaders; NGO,"""To protect known spawning sites of snapper and sea cucumber, and two on heavily-fished sections of reef to facilitate resource and habitat replenishment.""",Ecosystem/Conservation,"NGO presented monitoring data. Fishery health and social factors drove decision-making.  Quote: ""The conservation teams, with partner agency support, conducted quarterly resource and habitat monitoring; this influenced harvesting in several ways. Data were plotted on graphs, displayed on community noticeboards, and explained in communal meetings to guide discussions about whether an opening event was feasible.""",Social,Design: Locals agreed to NGO intervention and developed a management council,Collaboration community-NGO,each <0.05km2,5,Moderate area,~6 years. Has opened twice since establishment.,6,Long-term closures,Single-day openings,0.003,Daily opening,/,Unknown,4,"Sea cucumbers, Lobster, Anenome, oyster",4,Invertebrates,"The council of religious leaders has the most power to enforce. Additional groups with pwoer/responsibility: traditional council village government. Also, NGO facilitated communcation with locals and regional goverment for enforcement.",Collaboration community-government,"""Parter Agency"" (NGO) did survey monitoring for the community",NGO led
29,059-QUI-21,10.3389/fmars.2021.652318.,Quintana A,2021,"Anastasia C. E. Quintana, Alfredo Giron-Nava, Samuel Urmy, Alli N. Cramer, Santiago Domínguez-Sánchez, Salvador Rodríguez-Van Dyck, Octavio Aburto-Oropeza, Xavier Basurto and Amy Hudson Weaver",Mexico,"Corredor, Baja California Sur",059-QUL-21,North America,"Hook and line mostly (93%); professional, commercial fishers fishing mostly from ""pangas"", 6-8-meter boats with an outboard motor; some fishing for elasmobranchs with nets (30%, including many who also fish with hook and line); fishery is multi-species and targets mostly finfish, with some sharks/rays and some invertebrates (turban snail)",Hook and line fishing; Nets,11,"NGO (Niparaja), government (CONAPESCA), local fishers, local community, fishing cooperatives",Co-management,Locals; Government; NGO,No,2012,2012,No,"Rocky reef, mostly inshore but some more offshore in Gulf of California; some mangrove estuaries","Rocky reefs, Mangrove estuary",Temporary fishing closure,Determinate closure,"Fishers, especially fishing cooperatives (~100 fishers)",Bottom-up,Locals,Fishing was in decline; fishers were offered opportunity to collaborate with Niparajá and submit proposal,Fisheries management/Fishing income,Not clear - renewing based on fishers' desires and ability to justify closures to CONAPESCA,Governance,"Fishers got together at meetings, esp. effectively when cooperative leader got them together; discussed potential sites; decided on final site by discussion; final proposal agreed to by majority of fishers",Community/village led,0.4-5.9 km2 (in 2012); 0.4-32.91 km2 (in 2017),580,Extensive area,5 years at a time (still closed since 2012),5,Long-term closures,/,10,Unknown,Very small (<5%),Minimal closure,All,"All spp., especially focused on finfish",,Finfish,"Technically, CONAPESCA, but in practice, fishing cooperatives, fisher vigilantes; how they do it: Agua Verde (one town) has a monitoring boat that actively monitors the area; fishers talk to illegal fishers, tell them to leave, threaten to call the police, but they can't actually do anything",Community/village led,"CONAPESCA/INAPESCA, technically (fisheries agency), but in practice, NGOs (Niparaja)",NGO led
30,067-OLI-15,10.1371/journal.pone.0129075.,Oliver A,2015,"Thomas A. Oliver, Kirsten L. L. Oleson, Hajanaina Ratsimbazafy, Daniel Raberinary, Sophie Benbow, Alasdair Harris",Madagascar,"Velondriake LMMA, regional",067-OLI-15,Africa,"High selectivity for species, but *low selectivity for size class, low harvesting cost, traditional gear: Gleaning using spear and bucket, spearing into a den: ""The bulk of octopus is caught during spring low tides by gleaners, predominately women""",Spears; Gleaning,36,"Fishers, communities, elected offiicials, and NGO: Velondriake Committee (elected management body), communities, Blue Ventures Conservation",Co-management,Locals; NGO,No,2004,2004,No,Shallow offshore reef,Coral reefs,Periodic closure,Periodic closure,"Elected committee: ""the Velondriake Committee, an elected management body, selects closure sites, chooses closure durations, and coordinates management""",Co-management,Locals; NGO,"Came from NGO - Blue Ventures (""Starting in 2003, the non-governmental organization Blue Ventures, with local and international partners (Institut Halieutique et des Sciènces Marines, Wildlife Conservation Society, COPEFRITO) began a series of meetings with the community of Andavadoaka in southwest Madagascar to discuss approaches to managing local marine resources. In initial conversations, the community demurred from engaging in permanent no-take areas, but was willing to attempt a 7-month closure of octopus fishing""",Fisheries management/Fishing income,"Not clear - seemingly based on ecological/fishery impacts, but more likely a function of the committee's politics in meetings",Governance,"Village meetings and meetings of the Velondriake elected committee - ""In village meetings, communities spent considerable time discussing the details of proposed closed sites, such as duration, size, enforceability, and timing""",Community village led,124 ha +/- 45 (CI95),124,Extensive area,2-7 months,0.6,Quarterly closures,5-10 months,0.82,Quarterly opening,20%,Moderate closure,4,"4 spp of octopus - Octopus cyanea (95% of local catches), Callistoctopus macropus (~4%), Amphioctopus aegina (~1%), Callistoctopus ornatus (rare)",4,Invertebrates,"Communities: ""Communities self-enforce the closures, sanctions are prescribed by local law (dina), and enforced by consensus at community meetings """,Community/village led,"Velondriake committee with financial support from Blue Ventures - landings data collected since 2004 collected by local trained data collectors at point of sale: # fishers, # octopus, weight octopus, site, date, village name, gear type, fishers ages/genders",Collaboration community-NGO
31,039-BEN-14-A,10.2989/1814232X.2014.893256,Benbow S,2014,"S Benbow, F Humber, TA Oliver, KLL Oleson, D Raberinary M Nadon, H Ratsimbazafy and A Harris",Madagascar ,"Velondriake LMMA, Ankereo",039-BEN-14-A,Africa,"The fishing methods used are extremely low-cost, requiring only a wooden stick or spear. Women and children glean by walking on the exposed reef flats using the spears to probe O. cyanea dens.",Spears; Gleaning,1,"fisheries collection companies, Blue  Ventures, a British marine conservation NGO, local Vezo fishing communities",Co-management,Locals; NGO,No ,"November 1, 2004 (7 month period)",2004,Yes,"Coral reef: ""The marine ecosystem around Andavadoaka is characterised by a nearshore fringing reef and an offshore barrier reef""",Coral reefs,Periodic Closure,Periodic closure,"fishing communities, blue ventures NGO staff",Co-management,Locals; NGO,"""In 2004, pilot short-term octopus fishery closures were trialled within the recently established Velondriake Locally Managed Marine Area. Closure sites and durations were selected by fishing communities, and aimed to boost fisheries yields to local communities""",Fisheries management/Fishing income,Ankereo was selected because of its proximity to the village and ease of delimitation as a closed fishing site.,Governance,"Closure sites and durations were  selected  by  fishing  communities,  and  aimed  to  boost  fisheries  yields  to  local  communities.",Community/village led,"The site selected for the first trial octopus fishery closure was Ankereo, a 137 ha reef flat around Nosy Fasy, ",137,Extensive area,"Ankereo  was  closed  for  a  pilot  7-month  period  from  1  November  2004  until  6  June  2005  (218  days)  and  for  a  second,  shorter  period  the  following  year  (135  days  from  15  December  2005  to  28  April  2006).  ",0.6,Quarterly closures,N/a,0.56,Quarterly opening,/,Unknown,1,"1 species, Octopus cyanea ",1,Invertebrates,"fishing communities; ""A guard was hired by the village toprevent poaching by patrolling the site in daylight hours ina local pirogue (dug-out canoe)""",Community/village led,"collection companies employ local collectors known as ‘sous-collectors’ in each coastal village, who act as the middlemen, buying the octopus directly from fishers on behalf of export companies who were trained and employed to record data on octopus purchased from fishers through non-systematic sampling on a daily basis; blue ventures staff visited collectors to check accuracy on collected data",Collaboration community-NGO
32,039-BEN-14-B,10.2989/1814232X.2014.893256,Benbow S,2014,"S Benbow, F Humber, TA Oliver, KLL Oleson, D Raberinary M Nadon, H Ratsimbazafy and A Harris",Madagascar ,"Velondriake LMMA, Nosy Massay",039-BEN-14-B,Africa,"The fishing methods used are extremely low-cost, requiring only a wooden stick or spear. Women and children glean by walking on the exposed reef flats using the spears to probe O. cyanea dens.",Spears; Gleaning,1,"fisheries collection companies, Blue  Ventures, a British marine conservation NGO, local Vezo fishing communities",Co-management,Locals; NGO,No ,"The state enacted a south-west, region-wide octopus fishery closure from 15 December 2005 until 31 January 2006 (48 days). Thus the three 2005–2006 site closures effectively served as site-specific extensions of the regional fisheries closure",2005,Yes,"coral reef: ""Nosy Masay is a submerged patch reef site""",Coral reefs,Periodic Closure,Periodic closure,"fishing communities, blue ventures NGO staff",Co-management,Locals; NGO,"""In 2004, pilot short-term octopus fishery closures were trialled within the recently established Velondriake Locally Managed Marine Area. Closure sites and durations were selected by fishing communities, and aimed to boost fisheries yields to local communities""",Fisheries management/Fishing income,N/a,Governance,The timing and duration were chosen by agreement among all the local fishing communities.,Community/village led,"Nosy Masay is a submerged patch reef site, 150 ha in size, lying directly west of the islands of Nosy Mitata, ",150,Extensive area,15 December 2005 until 31 January 2006 (48 days). Thus the three 2005–2006 site closures effectively served as site-specific extensions of the regional fisheries closure,0.13,Quarterly closures,N/a,0.87,Quarterly opening,/,Unknown,1,"1 species, Octopus cyanea ",1,Invertebrates,Fishing communities.,Community/village led,"Collection companies employ local collectors known as ‘sous-collectors’ in each coastal village, who act as the middlemen, buying the octopus directly from fishers on behalf of export companies who were trained and employed to record data on octopus purchased from fishers through non-systematic sampling on a daily basis; blue ventures staff visited collectors to check accuracy on collected data",Collaboration community-NGO
33,039-BEN-14-C,10.2989/1814232X.2014.893256,Benbow S,2014,"S Benbow, F Humber, TA Oliver, KLL Oleson, D Raberinary M Nadon, H Ratsimbazafy and A Harris",Madagascar ,Velondriake LMMA Ampisorogna,039-BEN-14-C,Africa,"The fishing methods used are extremely low-cost, requiring only a wooden stick or spear. Women and children glean by walking on the exposed reef flats using the spears to probe O. cyanea dens.",Spears; Gleaning,1,"fisheries collection companies, Blue  Ventures, a British marine conservation NGO, local Vezo fishing communities",Co-management,Locals; NGO,No ,"The state enacted a south-west, region-wide octopus fishery closure from 15 December 2005 until 31 January 2006 (48 days). Thus the three 2005–2006 site closures effectively served as site-specific extensions of the regional fisheries closure",2005,Yes,coral reef: a fringing reef,Coral reefs,Periodic Closure,Periodic closure,"fishing communities, blue ventures NGO staff",Co-management,Locals; NGO,"""In 2004, pilot short-term octopus fishery closures were trialled within the recently established Velondriake Locally Managed Marine Area. Closure sites and durations were selected by fishing communities, and aimed to boost fisheries yields to local communities""",Fisheries management/Fishing income,N/a,Governance,The timing and duration were chosen by agreement among all the local fishing communities.,Community/village led,"Ampisorogna is a fringing reef flat of 90 ha, 9 km south of Andavadoaka.",90,Large area,15 December 2005 until 31 January 2006 (48 days). Thus the three 2005–2006 site closures effectively served as site-specific extensions of the regional fisheries closure,0.13,Quarterly closures,N/a,0.87,Quarterly opening,/,Unknown,1,"1 species, Octopus cyanea ",1,Invertebrates,Fishing communities.,Community/village led,"Collection companies employ local collectors known as ‘sous-collectors’ in each coastal village, who act as the middlemen, buying the octopus directly from fishers on behalf of export companies who were trained and employed to record data on octopus purchased from fishers through non-systematic sampling on a daily basis; blue ventures staff visited collectors to check accuracy on collected data",Collaboration community-NGO
34,068-GNA-15,10.1016/j.marpol.2015.06.033.,Gnanalingam G,2015,"Gaya Gnanalingam, Chris Hepburn",New Zealand,Huriawa penisula,068-GAN-15,Oceania,"N/a ( In recent times, conventional fishing effort and catch management controls such as gear restrictions, bag limits, and catch quotas have been increasingly paired with spatial management tools such as marine protected areas (MPAs))",Unknown,1,"New Zealand legeislation, New Zealand indeginous people, Minister for Primary Industries",Co-management,Locals; Government,Yes,As a consequence a voluntary rāhui (closure/prohibition) on the harvesting of H. iris was placed on Huriawa Peninsulain 2009.This closure was given legal effect in 2010 for a period of two years.,2010,Yes,Coral reef,Coral reefs,"All closures come into effect for only 2 years, but could be renewed later on",Determinate closure,"Local Community, the minister, chief executive",Co-management,Locals; Government,"These closures are designed to 'respond to the localised depletion of fisheries resources' and 'provide for the use and management practices of Tāngata Whenua (‘people of the land’) in the exercise of their customary, non-commercial fishing rights'",Ecosystem/Conservation,"With the section 186A and 186B FA 1996 provisions, authority is ultimately vested in the Minister for Primary Industries or the Chief Executive of the Ministry for Primary Industries Not only do these officials decide whether to implement a closure but the decision whether to renew the closure or pursue other options for on-going management such as Mātaitai reserves, Taiāpure local fisheries or statutory restrictions under s297 FA 1996 also lies with them. For s186A or 186B FA 1996 renewal applications to succeed, applicants need to provide reasons for the application, information on completed studies or anecdotal evidence of changes in the species or stock of interest and details of consultations that have been taken with stakeholders  [52]. Though there is no restriction on how many times a temporary closure can be renewed, the Minister or Chief Executive is to give careful assessment to the above criteria and whether further closures or restrictions would be the most appropriate management measure",Governance,There less than one percent of individuals found were above the minimum harvestable size of 125 mm. As a consequence a voluntary rāhui (closure/prohibition) on the harvesting of H. iris was placed on Huriawa Peninsula in 2009.,Government led, <1km2 in Huriawa Peninsula,100,Large area,2 years,2,Medium-term closures,"open for rest of the time, might be renewed",10,Unknown,/,Unknown,1,1- Haliotis iris (Blackfoot abalone),1,Invertebrates,"At their heart however, they empower the Minister in charge of the administration of the Act (at present, the Minister for Primary Industries) or the Chief Executive in charge of the department charged with administering the Act (the Ministry for Primary Industries) to temporarily close any area of New Zealand fisheries waters in respect of any species of fish, aquatic life, or seaweed, or temporarily restrict or prohibit the use of any fishing method",Government led,/,Government led
35,079-SMI-22,10.1002/ecs2.4002,Alexandra Smith,2022,"Alexandra Smith, Juan Domingo Aguilar, Charles Boch, Giulio De Leo, Arturo Hernández-Velasco, Stephanie Houck, Ramón Martinez, Stephen Monismith, Jorge Torre, C. Brock Woodson, Fiorenza Michel",Mexico,"Isla Natividad, Baja California, Mexico",079-SMI-22,North America,/,Unknown,1,"Local fishers, cooperative divers, community, local managers ("" Importantly, this example showcases how close collaboration between fishers, resource managers, scientists, and non-governmental organization (NGOs)"")",,Locals; Government; NGO; Others,No,"Following a prolonged decline in abundance and mass mortalities in 2009–2010, the abalone fishery in Isla Natividad was closed in August 2011, after the 2011 fishing season (Micheli et al., 2012). Since its reopening in 2017, the fishery is operating under conservative quotas below those from the pre-closure era, and 75% of the government set quota, or less, is harvested in each year.",2011,Yes,Coral Reefs/Coastal Marine,Coral reefs,Others (like refugia),Determinate closure,"Local fishers, cooperative divers, community, local managers ("" Importantly, this example showcases how close collaboration between fishers, resource managers, scientists, and non-governmental organization (NGOs)"")",Co-management,Locals; Government; NGO; Others,"""In the last decades, many marine invertebrates have experienced dramatic declines throughout many coastal marine ecosystems worldwide due to overfishing, disease outbreaks, and climate vulnerability."" ; reserve marine population and ecosystem decline",Ecosystem/Conservation,"""Our data span a mass mortality event (attributed to severe and prolonged hypoxia; Micheli et al., 2012), which resulted in the closure of the fishery, through the subsequent recovery and reopening of the fishery 6 years later""",Ecosystem/Conservation,"""We explore the interplay between natural refuges and the proactive and reactive fishery management strategies employed by local managers to consider what conditions might enable this uncommon recovery.""",Community/village led,Yutian estimates 200ha,200,Extensive area,6 years,6,Long-term closures,open since 2017,10,Long-term opening,"""In 2006, the cooperative voluntarily established two marine reserves around the island accounting for approximately 8% of the total fishing ground.""",Low closure,2,2 - Haliotis corrugata and Haliotis fulgens,2,Invertebrates,"This long-term study was the result of a multi-stakeholder collaboration among fishing cooperatives, the NGO Comunidad y Biodiversidad, and research institutions. This partnership enabled the establishment, enforcement and monitoring of the reserves, and the implementation of oceanographic, population, and recruitment studies.  ",Collaboration community-NGO,"This long-term study was the result of a multi-stakeholder collaboration among fishing cooperatives, the NGO Comunidad y Biodiversidad, and research institutions. This partnership enabled the establishment, enforcement and monitoring of the reserves, and the implementation of oceanographic, population, and recruitment studies.  ",Collaboration community-NGO
36,098-FOA-98-A,10.1016/S0964-5691(98)00044-1,Foale S,1998,Simone Foale,Papua New Guinea ,West Neggela-Vatu Tuguru,098-FOA-98-A,Oceania,breath-holding dive,Diving,1,"""Church"" tambu is installed by Anglican piests and brothers",Bottom-up,Community leaders,Yes,Unknown,Unknown,Yes,Coral Reefs,Coral reefs,Tambu area,Periodic closure,"Seems to be priests/brothers - church installed tambu, maybe reef owners are also involved, unclear",Bottom-up,Community leaders,"Unknown, not clearly mentioned",Unknown,"Seems to be socioeconomic - Although the money derived from sales of trochus can be and often is used for individual purposes, proceeds from harvests following a tambu are commonly earmarked for family or communal purposes, such as cementing a grave, paying school fees or maintaining a clinic or church.",Social,Decided by church priests/reef owners,Community/village led,18.74 (ha),19,Large area,9 months,0.75,Quarterly closures,"2-3 days, could also be couple of months - usually the representitive of the ownership group will harvest first, the reinstallation of the tambu can either follow immediately, or be delayed by several months.",0.008,Daily opening; Quarterly opening,/,Unknown,1,1-Trochus,1,Invertebrates,"Seems to lead by the reef owners - the author mentions ""reefs at some distance from a village center are much more likely to be poached, although the level of poaching may vary depending on the vigilance of the primary rights owners""",Community/village led,"Not mentioned, unclear",/
37,098-FOA-98-B,10.1016/S0964-5691(98)00044-2,Foale S,1998,Simone Foale,Papua New Guinea ,West Neggela-Tapopo,098-FOA-98-B,Oceania,breath-holding dive,Diving,1,"""Church"" tambu is installed by Anglican piests and brothers",Bottom-up,Community leaders,Yes,Unknown,Unknown,Yes,Coral Reefs,Coral reefs,Tambu area,Periodic closure,"Seems to be priests/brothers - church installed tambu, maybe reef owners are also involved, unclear",Bottom-up,Community leaders,"Unknown, not clearly mentioned",Unknown,"Seems to be socioeconomic - Although the money derived from sales of trochus can be and often is used for individual purposes, proceeds from harvests following a tambu are commonly earmarked for family or communal purposes, such as cementing a grave, paying school fees or maintaining a clinic or church.",Social,Decided by church priests/reef owners,Community/village led,9.74 (ha),10,Moderate area,11 months,0.92,Quarterly closures,"2-3 days, could also be couple of months - usually the representitive of the ownership group will harvest first, the reinstallation of the tambu can either follow immediately, or be delayed by several months.",0.008,Daily opening; Quarterly opening,/,Unknown,1,1-Trochus,1,Invertebrates,"Seems to lead by the reef owners - the author mentions ""reefs at some distance from a village center are much more likely to be poached, although the level of poaching may vary depending on the vigilance of the primary rights owners""",Community/village led,"Not mentioned, unclear",/
38,098-FOA-98-C,10.1016/S0964-5691(98)00044-3,Foale S,1998,Simone Foale,Papua New Guinea ,West Neggela-Leka,098-FOA-98-C,Oceania,breath-holding dive,Diving,1,"""Church"" tambu is installed by Anglican piests and brothers",Bottom-up,Community leaders,Yes,Unknown,Unknown,Yes,Coral Reefs,Coral reefs,Tambu area,Periodic closure,"Seems to be priests/brothers - church installed tambu, maybe reef owners are also involved, unclear",Bottom-up,Community leaders,"Unknown, not clearly mentioned",Unknown,"Seems to be socioeconomic - Although the money derived from sales of trochus can be and often is used for individual purposes, proceeds from harvests following a tambu are commonly earmarked for family or communal purposes, such as cementing a grave, paying school fees or maintaining a clinic or church.",Social,Decided by church priests/reef owners,Community/village led,6.42 (ha),6,Moderate area,11 months,0.92,Quarterly closures,"2-3 days, could also be couple of months - usually the representitive of the ownership group will harvest first, the reinstallation of the tambu can either follow immediately, or be delayed by several months.",0.008,Daily opening; Quarterly opening,/,Unknown,1,1-Trochus,1,Invertebrates,"Seems to lead by the reef owners - the author mentions ""reefs at some distance from a village center are much more likely to be poached, although the level of poaching may vary depending on the vigilance of the primary rights owners""",Community/village led,"Not mentioned, unclear",/
39,098-FOA-98-D,10.1016/S0964-5691(98)00044-4,Foale S,1998,Simone Foale,Papua New Guinea ,West Neggela-Salavo,098-FOA-98-D,Oceania,breath-holding dive,Diving,1,"""Church"" tambu is installed by Anglican piests and brothers",Bottom-up,Community leaders,Yes,Unknown,Unknown,Yes,Coral Reefs,Coral reefs,Tambu area,Periodic closure,"Seems to be priests/brothers - church installed tambu, maybe reef owners are also involved, unclear",Bottom-up,Community leaders,"Unknown, not clearly mentioned",Unknown,"Seems to be socioeconomic - Although the money derived from sales of trochus can be and often is used for individual purposes, proceeds from harvests following a tambu are commonly earmarked for family or communal purposes, such as cementing a grave, paying school fees or maintaining a clinic or church.",Social,Decided by church priests/reef owners,Community/village led,10.26 (ha),10,Moderate area,12 months,1,Annual closures,"2-3 days, could also be couple of months - usually the representitive of the ownership group will harvest first, the reinstallation of the tambu can either follow immediately, or be delayed by several months.",0.008,Daily opening; Quarterly opening,/,Unknown,1,1-Trochus,1,Invertebrates,"Seems to lead by the reef owners - the author mentions ""reefs at some distance from a village center are much more likely to be poached, although the level of poaching may vary depending on the vigilance of the primary rights owners""",Community/village led,"Not mentioned, unclear",/
